disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
1375,,,,,5097818.74,480755.51,4573840.99,2023-11-01T00:00:00.000Z,,710833,13688ab4b237aba1fb58059b1441628fa05934e8,2023-11-01T04:03:22.859Z,a05e0a51-eb2b-4f9d-9008-89a2a9bac0c9
1376,,,,,23460073.66,4220258.24,18158271.52,2023-11-01T00:00:00.000Z,,3517976,940c2e303950eb3104a593bc7448661303a1e764,2023-11-01T04:03:22.859Z,7d1a08d9-aa02-4ca7-8e1d-1463246999ee
1377,,,,,741930.23,9998.01,730615.2,2023-11-01T00:00:00.000Z,,113141,a55fffcde9340b2e0905d125f1d43efcad51844a,2023-11-01T04:03:22.859Z,35b08c60-26bf-4bee-a8f5-8e770291003b
1378,,,,,27714640.97,9528257.44,18283828.51,2023-11-01T00:00:00.000Z,,11061441,0699b4353d4f864d0f34ae62e8a9b8000c9cc796,2023-11-01T04:03:22.859Z,3ab942cd-1d74-4ee1-a5c3-bb5da90d40f8
1364,,,,,,,,,,1615134,5780ba3222eee3103dfb3a46ccce8c6b1947ec9b,2023-03-18T13:22:12.883Z,3bc5ff17-62df-4f28-8240-a7912e828f19
1379,,,,,433651817,101320637.9,329884828.43,2023-11-01T00:00:00.000Z,,201035427,582ab690989a0f0692365349330369bb79291d7b,2023-11-01T04:03:22.859Z,09170b5b-9edb-4099-8887-36fae3bfa4c5
1380,,,,,9040908.02,6082907.61,2964651.36,2023-11-01T00:00:00.000Z,,14135775,1ac2cb6b387f87de101f1f23a6ac320193147e38,2023-11-01T04:03:22.859Z,eef15184-0b73-4b1a-936e-6b907b0e24a1
1381,,,,,14683135.02,2171960.59,11970103.49,2023-11-01T00:00:00.000Z,,4038077,9b946ba530994166241ceca87d98c525c5e07605,2023-11-01T04:03:22.859Z,e48998b9-3157-4a5e-ba98-cf24ef44196c
1382,,,,,1776446.25,475268.17,1329092.51,2023-11-01T00:00:00.000Z,,0,01f06ba57ee051a938544ddbae0f6abd48b27e28,2023-11-01T04:03:22.859Z,74ab556f-ce6f-403d-b3f4-ee19cb38e0ed
1383,,,,,6689724.02,777194.42,5803267.17,2023-11-01T00:00:00.000Z,,1800672,9c0523a049c1327199abcdae35a9e918dd1eafe6,2023-11-01T04:03:22.859Z,cf00f62e-3030-41c6-893e-5817aefbb530
1384,,,,,6425209.53,2629470,3613225.53,2023-11-01T00:00:00.000Z,,1051510,73252db2d326fb6fffb96d2f558e0d77a307b2a2,2023-11-01T04:03:22.859Z,1b298f72-ed7c-4b9a-b9ed-b679f9b8aa96
1385,,,,,970883.22,776691.84,187695.22,2023-11-01T00:00:00.000Z,,136965,9809c3df14fa8b6b2ede06895424cbb683cbba5d,2023-11-01T04:03:22.859Z,47cb0e82-275e-4629-8070-94154762e54b
1386,,,,,7390259.93,837090.99,6533634.13,2023-11-01T00:00:00.000Z,,1663497,6b976e6ee7ddd17e9f55663f198348da8086dfe9,2023-11-01T04:03:22.859Z,8e295f8b-57ed-491b-8e1c-3702a2694914
1387,,,,,3692932.67,356138.9,3187341.86,2023-11-01T00:00:00.000Z,,659897,08524f3c211cac7ba0d41b1de8ed4874680ea559,2023-11-01T04:03:22.859Z,42e8e9cb-45b3-48b0-a597-b24c2d6a5574
1388,,,,,11677354.07,457515.74,11164447.48,2023-11-01T00:00:00.000Z,,2023999,3fadae97660b930461a243e8c9085dc5a5139423,2023-11-01T04:03:22.859Z,e642b22a-4627-4ea8-a6aa-8a8f18b207e4
1389,,,,,708827.27,276994.7,460813.63,2023-11-01T00:00:00.000Z,,255255,181aa3f8e52ccb479c03ca64200630ff2556f85d,2023-11-01T04:03:22.859Z,5b831d94-1adf-4f28-afdb-856351417803
1390,,,,,5935229.86,708833.51,5149869.54,2023-11-01T00:00:00.000Z,,914172,b0caa10cc950fdef1a8fe04ddf71d9cd91e46dea,2023-11-01T04:03:22.859Z,96b39f3f-4de5-473f-bdd5-abe97872f17a
1391,,,,,4732560097.4,2090168740.98,240887893.45,2023-11-01T00:00:00.000Z,,264635280,adc23773d7197e68916ac039789bf8373a5bfa96,2023-11-01T04:03:22.859Z,ff940142-1554-4ebd-a9d1-723f7772d6ce
1392,,,,,4938627.13,4905529.68,,2023-11-01T00:00:00.000Z,,1792038,9fff6e33f032589b6669e014cfc92fd84a520676,2023-11-01T04:03:22.859Z,670eb5a3-1efb-4f47-be28-d4885d7e7e52
1393,,,,,22990447.07,9766980.43,12715981.97,2023-11-01T00:00:00.000Z,,1575675,b558fea925b1fdaf70e450370ae44959d11dcae6,2023-11-01T04:03:22.859Z,9c09c6ff-7bad-4866-a806-2fac1a3052c1
1394,,,,,1414196.5,35419.81,1376975.39,2023-11-01T00:00:00.000Z,,136586,45df9cea2ddfeb29598ca367a18b44af230e4c11,2023-11-01T04:03:22.859Z,5e6913ce-cd05-4301-8260-311c3eed8cd5
1395,,,,,1146338.86,516406.83,493589.53,2023-11-01T00:00:00.000Z,,244547,f493f15c92a63977b9faa620ea97eb25187765fd,2023-11-01T04:03:22.859Z,b3ed7583-3ea7-4260-835d-33ab630cc584
1396,,,,,4853317.12,681327.02,3553040.63,2023-11-01T00:00:00.000Z,,93818,13187959e26b0359396b0e9968ff7ab6e4d8bf40,2023-11-01T04:03:22.859Z,f5b1bcb3-ef0b-4228-ab9a-be2739defdaf
1397,,,,,2452457.07,53540.13,2138681.23,2023-11-01T00:00:00.000Z,,197626,9a12369bbc6a736f57c16a6c0de67367468543c8,2023-11-01T04:03:22.859Z,4f672bb5-15b2-4085-acbf-81df7984f879
1398,,,,,5456042.93,402109.28,5117212.83,2023-11-01T00:00:00.000Z,,804721,3b2e36052d5d653cb953a8dff2105be94365c9ac,2023-11-01T04:03:22.859Z,42ca8176-ca0f-42df-83a7-fb403a20fcc9
1399,,,,,2343447.82,1538493.06,804954.76,2023-11-01T00:00:00.000Z,,484316,71172941cc27d0bc9ae2331259901d6574b56775,2023-11-01T04:03:22.859Z,46888bfd-afba-4687-b6a7-ad0568e77536
1400,,,,,2225170.96,85726.8,2165746.79,2023-11-01T00:00:00.000Z,,105414,916c47a1b4fcfe1bdede32ca5d6cf36abbfb055b,2023-11-01T04:03:22.859Z,2e7d25a3-de29-48bb-a805-b2f2d7f1fa5c
1401,,,,,109054038.02,24594047.06,83957589.48,2023-11-01T00:00:00.000Z,,19414568,35da0bb27dab9d0c4cf2d55fe278396bb0c60b21,2023-11-01T04:03:22.859Z,617f8f43-6d48-488c-adf7-9bea345835aa
1402,,,,,45020240.33,19181030.22,25287060.53,2023-11-01T00:00:00.000Z,,6185233,f4acc0f09997a81b196ff95954f785e9a66c27d8,2023-11-01T04:03:22.859Z,7be71b05-c8e7-42af-a3c2-d9ccdbb8ebeb
1403,,,,,43824367.31,34013640.27,9715546.9,2023-11-01T00:00:00.000Z,,6709061,ca199208fd87a17678c842c560b31c499b96df53,2023-11-01T04:03:22.859Z,062ad701-358a-4ca8-9ae0-d13b67dd6cbc
1404,,,,,5913137.1,752305.98,5103846.86,2023-11-01T00:00:00.000Z,,338652,c2dcca7fb35a3adf38eb1c3ae3766c38570123a9,2023-11-01T04:03:22.859Z,53ca0a2b-ac27-476c-ab0a-c37506abcc55
